#{"t_start": 1772342752.702262, "env_id": "highway-v0"}
r,l,t
58.768601,80,148.769689
18.278477,25,149.066617
59.30411,80,150.044266
59.170777,80,150.980014
58.637125,80,151.960205
30.022899,42,152.46453
58.603969,80,153.429799
57.937443,80,154.388245
17.737125,25,154.681359
59.132514,80,155.58175
59.329965,80,156.580425
59.565839,80,157.518345
3.455556,5,157.582524
59.170777,80,158.502064
59.837443,80,159.486261
59.837443,80,160.404776
21.40339,31,160.766809
51.530081,69,161.593747
59.570661,80,162.549903
54.50411,80,163.518215
59.800571,80,164.478822
57.537443,80,165.483923
59.78697,80,166.428838
59.970777,80,167.340831
60.237443,80,168.3275
59.422481,80,169.296794
62.728454,80,170.232113
61.170776,80,171.235125
61.435818,80,172.169524
8.244029,12,172.311537
45.906957,60,173.009555
57.90411,80,173.93029
61.837306,80,174.894704
61.795643,80,175.819998
62.298237,80,176.759742
17.622788,25,177.046353
59.570774,80,178.030637
18.27077,25,178.320663
60.058002,80,179.240585
59.037443,80,180.21544
59.300614,80,181.185739
57.570715,80,182.112539
58.90411,80,183.037086
8.90337,13,183.189013
59.77077,80,184.187857
38.162336,53,184.810114
60.470579,80,185.726994
62.370392,80,186.713409
58.766633,80,187.617104
59.824978,80,188.549679
53.369696,69,189.392004
27.421404,32,189.769097
25.088344,30,190.113334
5.403051,8,190.205673
14.244848,19,190.422105
29.967238,40,190.891368
7.814114,10,191.010648
6.559846,9,191.116771
32.434942,40,191.583932
17.076953,23,191.858313
26.581697,33,192.247049
3.960911,5,192.347689
43.727744,57,193.010146
8.829548,10,193.125183
8.767082,11,193.253351
32.151415,40,193.714495
59.170178,80,194.708804
42.460318,51,195.298129
9.574417,12,195.479081
46.668315,60,196.169361
5.992146,8,196.264355
17.313659,23,196.533756
24.229015,34,196.924674
22.162778,26,197.229988
51.923328,68,198.006822
57.699,80,198.982352
61.834335,80,199.918046
59.640842,80,200.860713
62.861885,80,201.820978
56.40499,77,202.711375
59.46856,80,203.677372
59.347189,76,204.595945
16.183021,18,204.804346
49.073512,66,205.583439
38.932664,53,206.211231
51.252124,67,207.005345
37.928543,48,207.597582
16.296085,19,207.817046
33.435811,40,208.281319
22.286861,28,208.606578
63.225832,77,209.509643
45.082124,52,210.11132
15.891836,21,210.353959
63.434334,80,211.33075
62.288429,80,212.266061
47.285336,69,213.075144
38.653835,55,213.759276
33.858635,40,214.228543
14.007103,16,214.41536
9.93798,12,214.556257
31.546391,39,215.014199
22.762619,27,215.333004
24.522958,34,215.734572
8.528667,12,215.87491
58.747,80,216.859608
44.25258,57,217.53514
12.830659,16,217.719995
3.631485,5,217.782235
9.056226,11,217.913319
51.742136,70,218.743511
61.165849,80,219.713197
15.057953,20,219.945973
59.655669,80,220.873311
10.651661,14,221.038728
10.015998,12,221.178993
11.129461,13,221.33419
19.544332,25,221.626583
45.141748,58,222.291931
25.90411,35,222.732977
59.180456,80,223.666115
22.51867,30,224.024705
29.202286,38,224.493556
10.73955,13,224.645495
37.291191,49,225.21497
64.237354,80,226.194031
28.385843,38,226.640139
15.98762,19,226.863155
7.2697,9,226.969785
57.470777,80,227.89858
9.296671,12,228.041623
21.376764,27,228.359414
59.904106,80,229.333635
42.153366,57,230.000145
59.926739,80,230.944756
59.570777,80,231.911592
59.906246,80,232.879129
59.70411,80,233.824494
43.428407,58,234.516709
59.837443,80,235.477657
59.970777,80,236.410133
14.492933,18,236.619625
57.470752,80,237.602137
20.244285,27,237.91333
15.05206,21,238.198041
58.869257,80,239.130356
58.370773,80,240.049869
59.969829,80,241.022238
58.145143,80,241.985807
60.50411,80,242.912342
61.27077,80,243.903137
7.962881,9,244.010619
59.165848,80,245.049825
59.30411,80,245.968542
58.304109,80,246.873769
37.436724,49,247.484107
59.291903,80,248.420701
61.298426,80,249.331711
59.237137,80,250.285527
58.816058,80,251.197611
53.337438,73,252.054536
10.534023,13,252.204465
59.413014,80,253.198691
59.678509,80,254.170038
12.937443,19,254.396166
58.845062,80,255.325371
60.116951,80,256.284658
59.440851,80,257.254162
60.003899,80,258.211842
29.289723,40,258.683766
59.232158,80,259.6628
61.265486,80,260.587157
49.487081,56,261.247031
35.211095,47,261.786091
14.284397,19,262.012257
59.54805,80,262.973991
63.034951,80,263.887752
14.854204,20,264.119539
10.813008,13,264.270279
25.041307,33,264.660868
41.96638,55,265.35092
61.832078,80,266.265255
58.367904,77,267.14312
59.459954,76,268.006446
61.668453,80,268.962407
62.974006,80,269.904074
9.821851,14,270.068429
63.430355,80,270.987824
4.056857,6,271.059657
15.83743,20,271.33426
59.870492,80,272.266365
62.770777,80,273.209723
61.092061,80,274.153068
7.252028,10,274.27026
50.112632,68,275.123001
26.31064,32,275.486612
3.768754,5,275.547504
12.170743,17,275.743015
34.720837,45,276.267432
49.41005,65,277.008625
59.768136,80,277.977395
60.458876,80,278.927724
60.770593,80,279.870054
7.658402,12,280.012624
13.331742,19,280.238841
58.904095,80,281.189357
60.811843,80,282.119636
15.298113,20,282.353631
59.69899,80,283.275498
58.856741,80,284.243886
49.63331,67,285.029642
60.929366,78,285.936213
59.437443,80,286.908428
58.422481,80,287.849282
60.758801,80,288.779116
59.819115,80,289.753513
57.796604,77,290.661784
57.835824,80,291.596048
59.575433,80,292.566376
60.103928,80,293.511699
59.456703,80,294.461842
58.757952,80,295.402914
59.704109,80,296.393209
3.584565,5,296.453878
59.570772,80,297.40846
13.870697,20,297.639511
59.218221,80,298.583598
60.156708,80,299.578656
60.748229,80,300.503683
59.791365,80,301.436564
46.784357,64,302.205672
49.374757,61,302.918337
61.005705,80,303.825936
59.266765,80,304.807794
59.802517,80,305.73514
6.156945,10,305.853289
58.90411,80,306.772749
60.370777,80,307.748719
49.931697,66,308.518139
60.025396,80,309.446027
42.703792,58,310.118833
15.952449,22,310.37388
24.189747,31,310.778591
59.933947,80,311.722665
59.037443,80,312.654715
6.170452,9,312.762447
5.962001,8,312.85705
58.942152,80,313.880165
60.10411,80,314.807066
60.270459,80,315.802602
59.156708,80,316.80101
59.589619,80,317.763973
59.570777,80,318.680973
4.643513,6,318.753093
9.554234,12,318.89461
59.291877,80,319.806916
7.345906,9,319.957295
59.296074,80,320.935292
58.90411,80,321.871472
35.707624,47,322.41634
59.39034,80,323.384075
59.825849,80,324.309848
58.00411,80,325.213538
57.837382,80,326.207798
57.190007,80,327.134207
59.258708,80,328.071733
59.30411,80,329.068288
58.90483,80,330.007862
20.40321,29,330.350786
60.637443,80,331.297161
59.236725,80,332.262163
59.437443,80,333.177067
58.978982,80,334.104664
60.216208,80,335.067524
59.066018,80,336.056941
59.970752,80,337.025669
22.23608,30,337.372652
26.437181,37,337.795122
58.62419,80,338.778553
7.121621,9,338.886549
59.558543,80,339.807197
59.291862,80,340.747212
62.108965,80,341.718875
60.345137,80,342.624791
58.887569,80,343.550098
60.383113,80,344.541105
23.846492,30,344.900138
13.952407,17,345.107621
63.159318,80,346.045257
50.722827,67,346.846184
12.470589,18,347.052646
9.849677,12,347.192056
16.837425,23,347.499784
28.367253,36,347.924433
60.071324,80,348.855721
53.502426,72,349.692593
14.1253,19,349.911791
50.563102,66,350.747512
4.0,6,350.820338
50.461959,60,351.523301
60.904025,80,352.459733
51.112027,65,353.221032
43.170682,57,353.930862
8.951857,12,354.068517
5.262788,7,354.151958
60.225209,80,355.096812
61.837261,80,356.046558
59.300613,80,356.99139
60.750314,80,357.930972
59.719299,80,358.871966
60.68312,80,359.833375
62.272442,80,360.752963
62.034801,80,361.69678
52.411379,70,362.565602
61.525236,80,363.502516
63.388032,80,364.464914
65.294887,80,365.415979
61.408166,80,366.402806
36.036999,50,366.977524
60.904108,80,367.945468
59.524839,80,368.919272
9.791717,14,369.08332
56.837443,75,369.950598
59.892578,80,370.906891
