#{"t_start": 1772229770.224811, "env_id": "highway-fast-v0"}
r,l,t
11.014334,13,36.632164
7.65325,11,36.776598
3.012841,4,36.83025
2.046796,3,36.872737
2.046796,3,36.913671
8.544669,11,37.057757
4.813113,6,37.136677
13.964873,19,37.373599
13.378236,17,37.588724
1.864354,3,37.632239
5.879557,8,37.733957
9.017604,11,37.879709
22.944855,30,38.25433
8.698847,10,38.38488
18.328814,26,38.708694
3.431511,5,38.7744
3.812171,5,38.840218
10.33075,13,39.008601
19.079704,26,39.332909
20.631512,28,39.686773
16.476435,21,39.947846
5.779162,7,40.039487
3.818679,5,40.105025
13.264161,18,40.331659
22.243409,29,40.698405
5.499701,8,40.803544
12.315826,16,41.006092
8.797,12,41.165168
1.765379,3,41.206974
14.251623,19,41.451828
20.795229,27,41.793089
12.631198,17,42.009049
3.132761,5,42.075882
6.197292,9,42.192471
4.197424,6,42.270974
5.685017,8,42.372943
8.082684,12,42.524248
3.912536,5,42.591865
11.793866,16,42.79303
5.345403,7,42.882223
7.247849,9,42.996853
4.046452,5,43.066103
7.048802,10,43.194294
8.264273,10,43.324695
9.3848,12,43.475966
7.495868,10,43.604148
19.10083,26,43.929656
6.58409,9,44.044499
1.880129,3,44.085498
3.398756,5,44.153421
16.385075,23,44.443216
13.210641,16,44.6799
3.649108,5,44.746471
5.665191,8,44.850392
6.214891,9,44.965615
3.685808,5,45.033084
2.498134,4,45.085726
14.701701,21,45.35065
15.415654,18,45.576433
4.448181,6,45.654735
13.014578,17,45.868115
2.013463,3,45.91025
8.579063,12,46.06498
3.785605,6,46.143672
12.648213,18,46.370789
4.832131,7,46.462962
22.132796,30,46.835448
3.8655,6,46.911695
21.097901,27,47.248063
22.084083,30,47.628651
3.013158,4,47.682622
14.977711,20,47.928133
5.730107,8,48.031241
1.880129,3,48.073408
1.864354,3,48.113941
11.351728,17,48.327377
7.383235,9,48.443347
7.912378,10,48.574893
3.53266,5,48.640898
7.097225,9,48.75893
5.013113,6,48.837385
8.645824,10,48.967685
11.984544,15,49.160166
7.851913,10,49.287058
1.985968,3,49.327393
18.410535,23,49.625212
7.978157,11,49.765915
6.177915,8,49.868225
3.679045,5,49.933844
10.044622,12,50.090095
11.632154,17,50.306311
18.511682,26,50.63236
4.947285,7,50.722674
6.185641,8,50.829778
5.812642,7,50.920216
15.911061,18,51.152278
23.359909,30,51.52398
10.851688,16,51.725773
11.527622,15,51.912681
8.245525,11,52.04947
7.112544,10,52.175679
23.662534,30,52.551897
12.666572,16,52.752084
15.562857,22,53.026889
9.9445,13,53.188169
3.94598,5,53.256663
11.015449,15,53.467509
17.144494,22,53.749127
22.06458,30,54.127033
21.084394,29,54.495144
10.24675,13,54.660606
20.59341,24,54.964911
20.351211,29,55.326242
5.498698,7,55.419377
2.912696,4,55.472651
5.453549,8,55.578238
22.950706,30,55.95112
17.727338,21,56.221489
2.013001,3,56.263014
19.51049,27,56.596588
2.451691,4,56.650981
5.232361,7,56.742419
5.753112,7,56.832024
5.850217,8,56.933057
13.679867,20,57.18297
1.915775,3,57.225986
6.196128,8,57.329282
17.013033,21,57.595564
10.963292,15,57.787259
13.38353,18,58.018865
1.766667,3,58.061283
6.364314,8,58.164961
13.877944,17,58.384076
12.318127,17,58.600364
5.946083,8,58.704354
2.745712,4,58.757343
7.066118,11,58.896548
3.799154,6,58.979207
3.251196,5,59.044841
4.778821,7,59.135331
18.683545,25,59.444765
3.696872,5,59.513409
15.279241,21,59.772762
2.684279,4,59.825891
6.865458,9,59.942947
6.998739,9,60.065256
3.965157,6,60.142414
3.179825,4,60.195822
3.515153,5,60.261135
15.377437,17,60.476589
22.365617,30,60.852622
8.85259,13,61.019112
11.899378,16,61.223828
7.516617,10,61.353895
1.848486,3,61.394168
7.982488,11,61.534128
4.58569,7,61.624059
11.050353,14,61.801082
2.913463,4,61.853954
2.515815,4,61.90705
5.281195,7,61.997717
2.366971,4,62.05278
11.81264,13,62.219109
7.965514,10,62.34913
17.328721,22,62.626302
2.565379,4,62.680303
18.278657,23,62.972673
7.365712,10,63.100788
8.846177,12,63.253675
4.745974,6,63.332703
5.465138,7,63.422568
8.463501,12,63.575598
9.145352,11,63.715645
13.631481,18,63.944691
6.296958,9,64.059311
9.662928,12,64.213743
1.999063,3,64.254139
22.253508,30,64.627679
3.597066,5,64.693769
14.867807,21,64.95635
3.919306,5,65.021172
7.619911,11,65.164311
3.481819,5,65.229892
10.812642,12,65.383025
3.612841,5,65.447773
13.964616,20,65.700771
2.764354,4,65.754695
17.043966,22,66.028542
3.864401,6,66.107581
11.24598,13,66.274635
15.143096,18,66.502434
21.64575,29,66.867376
1.864354,3,66.908542
2.019301,3,66.950217
2.979354,4,67.005074
6.48182,9,67.119662
5.447942,8,67.221658
1.881819,3,67.264239
6.598498,10,67.389756
2.881819,4,67.443699
1.665465,3,67.485424
1.732711,3,67.528307
14.748144,17,67.745127
2.912696,4,67.797865
5.898764,9,67.911038
10.653195,15,68.101387
9.177429,11,68.243999
6.447542,9,68.357311
1.946334,3,68.399223
12.695449,14,68.579473
4.551037,6,68.657963
7.017737,10,68.787415
4.316591,6,68.866666
11.228213,13,69.036365
16.394866,22,69.315383
6.045138,8,69.420179
4.396721,6,69.498485
15.41208,21,69.766128
5.964093,9,69.883339
6.47982,8,69.985764
13.632116,18,70.213187
4.979283,7,70.305145
6.031835,9,70.419827
7.54506,9,70.536498
5.797343,7,70.627506
8.553158,11,70.771338
14.748676,19,71.009396
12.519017,18,71.23679
8.597211,10,71.364013
3.946023,5,71.43166
9.718669,12,71.586598
12.198066,17,71.801518
5.950349,9,71.915992
3.432132,5,71.984984
4.466102,7,72.077018
6.696865,8,72.18068
20.829908,26,72.509644
15.97834,19,72.750577
7.518108,10,72.88008
4.353205,7,72.97169
9.720221,14,73.150354
8.078835,10,73.280719
4.77978,6,73.358717
6.397337,8,73.462711
1.781819,3,73.504028
13.31061,15,73.701069
21.199595,30,74.075514
4.216878,6,74.153706
15.843922,21,74.4178
7.383798,9,74.535446
2.532131,4,74.587929
11.11478,14,74.76672
3.97978,5,74.832854
23.547875,30,75.211908
3.934401,6,75.290015
17.598756,21,75.556454
15.316814,20,75.80833
2.433333,4,75.862573
3.166119,5,75.927495
21.966039,30,76.307156
2.518358,4,76.360359
11.950727,14,76.541128
10.26548,15,76.730026
9.952229,12,76.883464
8.845248,11,77.025476
5.046446,6,77.10536
10.16933,15,77.297814
14.311345,18,77.527473
5.095906,7,77.619393
19.144476,25,77.932502
4.746751,6,78.01065
11.161836,14,78.189433
3.149644,5,78.254838
2.013001,3,78.297553
11.585641,15,78.489913
7.552988,10,78.618987
3.532711,5,78.685102
8.716042,13,78.853375
9.751319,12,79.006894
6.802394,10,79.13439
24.451036,30,79.515682
3.617114,5,79.583519
3.579911,5,79.649507
7.112485,9,79.764888
7.711398,9,79.88071
2.566044,4,79.935697
2.818679,4,79.991086
8.063806,10,80.120332
1.980129,3,80.161185
11.635017,17,80.379659
5.632789,8,80.482371
11.031816,15,80.673136
4.511589,6,80.749916
5.58124,8,80.854344
2.746174,4,80.907166
7.644942,10,81.034597
22.085619,30,81.411517
3.346836,5,81.478803
5.312531,7,81.57171
4.279546,6,81.649135
23.252269,30,82.021941
17.131874,24,82.326937
1.764354,3,82.367149
23.114651,30,82.745484
11.145709,13,82.912372
16.751072,24,83.219774
5.545121,7,83.311635
2.43209,4,83.365878
3.812647,5,83.432057
5.912383,8,83.535588
3.197728,5,83.600803
21.90081,30,83.972114
15.246021,19,84.212808
3.397637,5,84.281182
19.16185,26,84.612447
1.867501,3,84.65394
6.018387,7,84.746725
4.812155,6,84.826156
4.912641,6,84.904989
17.145978,23,85.194615
8.166315,11,85.334773
3.216313,5,85.402717
3.74598,5,85.469097
9.229818,12,85.624849
16.413437,20,85.876653
13.547867,18,86.109113
4.845357,6,86.188852
11.748779,16,86.390075
8.965128,13,86.554762
13.513113,15,86.746397
11.397635,13,86.911481
7.245979,9,87.027526
6.516955,9,87.143673
9.745157,11,87.287933
7.596889,10,87.415726
2.764354,4,87.470032
8.6526,11,87.612945
4.352007,7,87.705345
3.465465,5,87.77149
12.013075,16,87.974595
5.831729,7,88.064821
2.566044,4,88.120707
21.977103,26,88.452297
3.579507,5,88.51769
19.878583,23,88.810055
22.153467,30,89.229749
9.035035,13,89.396252
8.714623,11,89.538805
3.851241,6,89.618794
22.447331,28,89.970158
5.278732,7,90.059577
22.016305,30,90.433524
6.75311,9,90.54757
11.132821,15,90.740623
3.614573,5,90.807745
19.543115,23,91.094206
18.545818,23,91.384379
8.913112,10,91.513026
2.746796,4,91.566762
14.111195,19,91.803291
4.512496,6,91.88243
21.649069,30,92.255369
8.147814,10,92.380982
2.848436,4,92.434291
4.53218,7,92.524163
19.962435,24,92.826828
8.333432,11,92.982037
21.448795,30,93.358909
8.09793,10,93.486693
4.45044,6,93.56629
17.518201,23,93.858357
7.033074,10,93.987408
3.980175,6,94.065534
9.184229,14,94.245168
7.712017,9,94.360914
4.963597,7,94.452067
2.086537,4,94.504916
10.979032,13,94.674904
4.850891,7,94.766705
13.444432,16,94.968456
21.11527,27,95.309727
8.644879,10,95.438486
14.166324,19,95.680424
8.952655,14,95.859508
6.853508,9,95.976538
23.152358,30,96.35801
15.868024,19,96.598645
12.943057,16,96.800836
11.014586,14,96.977386
7.76424,11,97.123722
5.296927,7,97.217366
17.198706,22,97.498328
9.978931,13,97.663883
7.413873,9,97.781925
7.219202,9,97.898312
2.646796,4,97.95207
24.063839,30,98.329771
3.499377,5,98.396356
8.612215,10,98.525137
6.299076,9,98.639426
1.781819,3,98.680414
11.513057,15,98.87449
7.244959,9,98.989381
16.443998,22,99.261494
11.430207,15,99.454861
11.247341,15,99.647197
6.23236,8,99.751258
9.099048,12,99.903087
6.84598,9,100.018978
1.915153,3,100.062575
1.732045,3,100.105064
22.915192,30,100.482879
8.317576,10,100.612652
6.832881,9,100.730756
2.76405,4,100.783987
14.443248,19,101.025035
13.064123,16,101.232316
9.447852,11,101.374909
8.47745,10,101.501442
9.986259,14,101.682564
12.813909,18,101.908416
9.631876,11,102.052376
18.33234,23,102.342776
9.965775,14,102.520006
1.984576,3,102.560936
7.849452,10,102.69227
2.045712,3,102.731764
5.27885,6,102.810045
13.752658,19,103.051063
4.611562,6,103.131027
23.616846,30,103.510149
2.880129,4,103.563788
3.56573,5,103.629608
25.059722,29,103.995861
5.998743,8,104.09895
4.600798,7,104.191194
5.544432,7,104.282707
9.080169,11,104.42519
4.281819,6,104.503844
2.781819,4,104.556492
4.811407,6,104.634045
3.645399,5,104.701195
3.119315,4,104.753855
15.546027,20,105.004892
7.583433,11,105.142335
2.046796,3,105.184752
2.013463,3,105.226069
17.14344,21,105.493856
18.081822,24,105.796606
4.566673,7,105.888222
9.110834,12,106.040746
8.845564,12,106.195858
2.663732,4,106.249053
2.566362,4,106.304356
9.185128,11,106.446356
1.815153,3,106.486154
4.564005,6,106.565036
4.13156,6,106.644908
11.600747,17,106.856767
3.713001,5,106.921913
23.315004,30,107.295144
3.631892,5,107.362011
2.885808,4,107.415614
15.918316,22,107.69147
4.712641,6,107.769255
3.866089,6,107.850404
10.609471,13,108.018404
